Contest ID,Contest Title,Contest Seq Nbr,Contest Type,Contest Party,Absentee Mail Blank Votes,Absentee Walk-in Blank Votes,Election Blank Votes,Absentee Mail Over Votes,Absentee Walk-in Over Votes,Election Over Votes,Registered Voters,Total Precincts,Counted Precincts,Candidate ID,Candidate Name,Candidate Seq Nbr,Candidate Party,Absentee Mail Votes,Absentee Walk-in Votes,Election Votes,Total Votes
2,"U.S. Senator - D",2,"OF",,24424,3164,18565,99,0,1,741007,249,249,7,"HIRONO, Mazie K.",1,"",114141,14435,73103,201679
3,"U.S. Senator - N",3,"OF",,599,42,257,2,0,0,741007,249,249,8,"REYES, Arturo Pacheco",3,"",240,15,186,441
3,"U.S. Senator - N",3,"OF",,599,42,257,2,0,0,741007,249,249,9,"HAVERTY, Charles (Charlie)",1,"",256,17,143,416
3,"U.S. Senator - N",3,"OF",,599,42,257,2,0,0,741007,249,249,10,"MAERTENS, Matthew K.",2,"",195,10,98,303
4,"U.S. Senator - R",4,"OF",,3197,309,2230,24,0,2,741007,249,249,15,"CURTIS, Ron",3,"",3583,315,2472,6370
4,"U.S. Senator - R",4,"OF",,3197,309,2230,24,0,2,741007,249,249,11,"ANDERSON, Consuelo",1,"",2412,272,2488,5172
4,"U.S. Senator - R",4,"OF",,3197,309,2230,24,0,2,741007,249,249,12,"HELSHAM, Robert C., Sr.",5,"",2236,196,1556,3988
4,"U.S. Senator - R",4,"OF",,3197,309,2230,24,0,2,741007,249,249,13,"WHITE, Thomas E.",8,"",1794,225,1642,3661
4,"U.S. Senator - R",4,"OF",,3197,309,2230,24,0,2,741007,249,249,14,"DE LA FUENTE, Rocky Mamaka",4,"",1273,214,1578,3065
4,"U.S. Senator - R",4,"OF",,3197,309,2230,24,0,2,741007,249,249,17,"BERISH, George L.",2,"",1040,78,540,1658
4,"U.S. Senator - R",4,"OF",,3197,309,2230,24,0,2,741007,249,249,16,"HODGKISS, Michael R.",6,"",752,103,721,1576
4,"U.S. Senator - R",4,"OF",,3197,309,2230,24,0,2,741007,249,249,18,"PIRKOWSKI, Eddie",7,"",706,71,581,1358
5,"U.S. Representative, Dist I - G",5,"OF",,38,2,14,0,0,0,741007,115,115,19,"BURD, Zachary B.",1,"",118,8,47,173
6,"U.S. Representative, Dist I - D",6,"OF",,2216,132,1471,146,0,12,741007,115,115,21,"CASE, Ed",1,"",30137,2345,15009,47491
6,"U.S. Representative, Dist I - D",6,"OF",,2216,132,1471,146,0,12,741007,115,115,20,"CHIN, Doug S.",2,"",17985,1874,10431,30290
6,"U.S. Representative, Dist I - D",6,"OF",,2216,132,1471,146,0,12,741007,115,115,26,"KIM, Donna Mercado",5,"",12987,1037,7539,21563
6,"U.S. Representative, Dist I - D",6,"OF",,2216,132,1471,146,0,12,741007,115,115,22,"ING, Kaniela Saito",4,"",2918,452,4169,7539
6,"U.S. Representative, Dist I - D",6,"OF",,2216,132,1471,146,0,12,741007,115,115,25,"FUKUMOTO, Beth Keiko",3,"",4169,337,2970,7476
6,"U.S. Representative, Dist I - D",6,"OF",,2216,132,1471,146,0,12,741007,115,115,24,"MARTIN, Ernest Yorihiko",6,"",2164,224,1439,3827
6,"U.S. Representative, Dist I - D",6,"OF",,2216,132,1471,146,0,12,741007,115,115,23,"PULETASI, Sam",113,"",264,28,227,519
7,"U.S. Representative, Dist I - L",7,"OF",,18,0,6,0,0,0,741007,115,115,27,"TIPPENS, Michelle Rose",1,"",90,7,53,150
8,"U.S. Representative, Dist I - N",8,"OF",,227,5,71,0,0,0,741007,115,115,29,"GRIFFIN, Calvin C. (G)",2,"",164,16,86,266
8,"U.S. Representative, Dist I - N",8,"OF",,227,5,71,0,0,0,741007,115,115,28,"CIPOLLA, John E.",1,"",116,4,67,187
9,"U.S. Representative, Dist I - R",9,"OF",,1323,83,880,11,0,2,741007,115,115,31,"CAVASSO, Cam",1,"",5746,473,4345,10564
9,"U.S. Representative, Dist I - R",9,"OF",,1323,83,880,11,0,2,741007,115,115,30,"VINOLE, Raymond Rene",3,"",1317,107,918,2342
10,"U.S. Representative, Dist II - D",10,"OF",,6526,888,4442,82,0,8,741007,134,134,33,"GABBARD, Tulsi",3,"",49442,8482,36741,94665
10,"U.S. Representative, Dist II - D",10,"OF",,6526,888,4442,82,0,8,741007,134,134,34,"ALU CAMPAGNA, Sherry",1,"",7256,1425,5266,13947
10,"U.S. Representative, Dist II - D",10,"OF",,6526,888,4442,82,0,8,741007,134,134,32,"AUSTIN, Anthony Tony",2,"",2372,375,1945,4692
11,"U.S. Representative, Dist II - R",11,"OF",,2442,273,2351,2,0,0,741007,134,134,35,"EVANS, Brian",1,"",6176,847,5314,12337
12,"Governor - G",12,"OF",,99,9,56,1,0,0,741007,249,249,36,"BREWER, Jim",1,"",258,42,154,454
13,"Governor - D",13,"OF",,2917,364,1835,276,2,26,741007,249,249,40,"IGE, David Y.",3,"",69313,9179,46080,124572
13,"Governor - D",13,"OF",,2917,364,1835,276,2,26,741007,249,249,41,"HANABUSA, Colleen Wakako",2,"",60774,7393,39464,107631
13,"Governor - D",13,"OF",,2917,364,1835,276,2,26,741007,249,249,37,"CARAVALHO, Ernest",1,"",2969,310,2383,5662
13,"Governor - D",13,"OF",,2917,364,1835,276,2,26,741007,249,249,38,"KA'EHU'AE'A, Wendell J.",4,"",1040,231,1027,2298
13,"Governor - D",13,"OF",,2917,364,1835,276,2,26,741007,249,249,42,"KIM, Richard Y.",5,"",931,90,555,1576
13,"Governor - D",13,"OF",,2917,364,1835,276,2,26,741007,249,249,39,"TANABE, Van (Tanaban)",6,"",446,30,299,775
14,"Governor - N",14,"OF",,616,39,266,1,0,0,741007,249,249,43,"TERUYA, Terrence K.",3,"",321,23,199,543
14,"Governor - N",14,"OF",,616,39,266,1,0,0,741007,249,249,44,"BLACKWELL, Selina T.",1,"",296,13,188,497
14,"Governor - N",14,"OF",,616,39,266,1,0,0,741007,249,249,45,"EL, Link",2,"",58,9,31,98
15,"Governor - R",15,"OF",,845,64,517,24,0,4,741007,249,249,46,"TUPOLA, Andria",3,"",8571,1026,7700,17297
15,"Governor - R",15,"OF",,845,64,517,24,0,4,741007,249,249,47,"CARROLL, John",1,"",5932,538,4504,10974
15,"Governor - R",15,"OF",,845,64,517,24,0,4,741007,249,249,48,"LHEUREUX, Ray",2,"",1645,155,1085,2885
16,"Lieutenant Governor - G",16,"OF",,101,13,61,0,0,0,741007,249,249,49,"ING, Renee",1,"",257,38,149,444
17,"Lieutenant Governor - D",17,"OF",,5276,484,3451,202,0,20,741007,249,249,50,"GREEN, Josh",3,"",43683,5267,25895,74845
17,"Lieutenant Governor - D",17,"OF",,5276,484,3451,202,0,20,741007,249,249,51,"TOKUDA, Jill N.",5,"",40456,4311,23357,68124
